dummy,dummy,dummy,Wind_on,Wind_off,Solar
2013,IND,h160,0.064215646,0,0.53
2013,IND,h161,0.067415918,0,0.3
2013,IND,h162,0.116627483,0,0.03
2013,IND,h163,0.195643537,0,0
2013,IND,h164,0.247595646,0,0
2013,IND,h165,0.287531565,0,0
2013,IND,h166,0.336873061,0,0
2013,IND,h167,0.380563537,0,0
2013,IND,h168,0.409982993,0,0
2013,IND,h169,0.433394558,0,0
2013,IND,h170,0.440370884,0,0
2013,IND,h171,0.429183197,0,0
2013,IND,h172,0.410685782,0,0
2013,IND,h173,0.398429048,0,0
2013,IND,h174,0.388188095,0,0
2013,IND,h175,0.373794762,0,0
2013,IND,h176,0.320738231,0,0.07
2013,IND,h177,0.249336667,0,0.27
2013,IND,h178,0.232087891,0,0.45
2013,IND,h179,0.209176871,0,0.63
2013,IND,h180,0.157391361,0,0.71
2013,IND,h181,0.10305449,0,0.64
2013,IND,h182,0.067334286,0,0.66
2013,IND,h183,0.052625034,0,0.69
2013,IND,h184,0.056701837,0,0.54
2013,IND,h185,0.083793605,0,0.3
2013,IND,h186,0.162231293,0,0.03
2013,IND,h187,0.247346939,0,0
2013,IND,h188,0.295567755,0,0
2013,IND,h189,0.313468571,0,0
2013,IND,h190,0.311948435,0,0
2013,IND,h191,0.301485986,0,0
2013,IND,h192,0.287666803,0,0
2013,IND,h193,0.291048912,0,0
2013,IND,h194,0.30273068,0,0
2013,IND,h195,0.302146871,0,0
2013,IND,h196,0.296721701,0,0
2013,IND,h197,0.289127959,0,0
2013,IND,h198,0.295596599,0,0
2013,IND,h199,0.288059252,0,0
2013,IND,h200,0.25758415,0,0.07
2013,IND,h201,0.231104626,0,0.33
2013,IND,h202,0.210076395,0,0.54
2013,IND,h203,0.204872245,0,0.75
2013,IND,h204,0.189837551,0,0.84
2013,IND,h205,0.166781565,0,0.86
2013,IND,h206,0.148905986,0,0.82
2013,IND,h207,0.141848707,0,0.73
2013,IND,h208,0.145902789,0,0.56
2013,IND,h209,0.166162789,0,0.33
2013,IND,h210,0.221672993,0,0.04
2013,IND,h211,0.281406054,0,0
2013,IND,h212,0.315262993,0,0
2013,IND,h213,0.329626599,0,0
2013,IND,h214,0.325006395,0,0
2013,IND,h215,0.308201769,0,0
2013,IND,h216,0.286888776,0,0
2013,IND,h217,0.277969048,0,0
2013,IND,h218,0.279271293,0,0
2013,IND,h219,0.268841361,0,0
2013,IND,h220,0.264607279,0,0
2013,IND,h221,0.272120544,0,0
2013,IND,h222,0.283810952,0,0
2013,IND,h223,0.285293537,0,0
2013,IND,h224,0.27065102,0,0.08
2013,IND,h225,0.273183878,0,0.33
2013,IND,h226,0.252936871,0,0.55
2013,IND,h227,0.228071088,0,0.7
2013,IND,h228,0.197218503,0,0.82
2013,IND,h229,0.162867143,0,0.79
2013,IND,h230,0.142866259,0,0.72
2013,IND,h231,0.136192517,0,0.7
2013,IND,h232,0.137570136,0,0.55
2013,IND,h233,0.157033333,0,0.33
2013,IND,h234,0.218136054,0,0.05
2013,IND,h235,0.284713197,0,0
2013,IND,h236,0.316286395,0,0
2013,IND,h237,0.31632966,0,0
2013,IND,h238,0.297602925,0,0
2013,IND,h239,0.281555374,0,0
2013,IND,h240,0.272672993,0,0
2013,IND,h241,0.256882313,0,0
2013,IND,h242,0.247258299,0,0
2013,IND,h243,0.243509864,0,0
2013,IND,h244,0.246612517,0,0
2013,IND,h245,0.250902449,0,0
2013,IND,h246,0.25523619,0,0
2013,IND,h247,0.250813129,0,0
2013,IND,h248,0.240685306,0,0.09
2013,IND,h249,0.223351565,0,0.35
2013,IND,h250,0.238076327,0,0.57
2013,IND,h251,0.240350544,0,0.73
2013,IND,h252,0.224555918,0,0.81
2013,IND,h253,0.190239592,0,0.84
2013,IND,h254,0.154827959,0,0.83
2013,IND,h255,0.121810136,0,0.74
2013,IND,h256,0.097125646,0,0.57
2013,IND,h257,0.096840068,0,0.34
2013,IND,h258,0.155506395,0,0.05
2013,IND,h259,0.227430476,0,0
2013,IND,h260,0.264637211,0,0
2013,IND,h261,0.274889456,0,0
2013,IND,h262,0.290042109,0,0
2013,IND,h263,0.295406599,0,0
2013,IND,h264,0.272282721,0,0
2013,IND,h265,0.25049381,0,0
2013,IND,h266,0.237436939,0,0
2013,IND,h267,0.238602517,0,0
2013,IND,h268,0.237069116,0,0
2013,IND,h269,0.21696415,0,0
2013,IND,h270,0.194403333,0,0
2013,IND,h271,0.179928844,0,0
2013,IND,h272,0.162899864,0,0.09
2013,IND,h273,0.138817075,0,0.35
2013,IND,h274,0.131379524,0,0.58
2013,IND,h275,0.111201633,0,0.74
2013,IND,h276,0.081945374,0,0.82
2013,IND,h277,0.065173333,0,0.87
2013,IND,h278,0.066718639,0,0.83
2013,IND,h279,0.080556667,0,0.74
2013,IND,h280,0.096565918,0,0.57
2013,IND,h281,0.125547755,0,0.34
2013,IND,h282,0.194715646,0,0.05
2013,IND,h283,0.274934626,0,0
2013,IND,h284,0.314731429,0,0
2013,IND,h285,0.318415034,0,0
2013,IND,h286,0.296121973,0,0
2013,IND,h287,0.26965068,0,0
2013,IND,h288,0.25118966,0,0
2013,IND,h289,0.248035578,0,0
2013,IND,h290,0.241978027,0,0
2013,IND,h291,0.22371585,0,0
2013,IND,h292,0.205454558,0,0
2013,IND,h293,0.188886531,0,0
2013,IND,h294,0.168304762,0,0
2013,IND,h295,0.137408435,0,0
2013,IND,h296,0.085561361,0,0.08
2013,IND,h297,0.056653605,0,0.35
2013,IND,h298,0.067989592,0,0.58
2013,IND,h299,0.057258571,0,0.74
2013,IND,h300,0.057856327,0,0.83
2013,IND,h301,0.061608503,0,0.86
2013,IND,h302,0.066726871,0,0.83
2013,IND,h303,0.074072789,0,0.74
2013,IND,h304,0.083342517,0,0.57
2013,IND,h305,0.105382789,0,0.34
2013,IND,h306,0.154754626,0,0.05
2013,IND,h307,0.206637347,0,0
2013,IND,h308,0.252361973,0,0
2013,IND,h309,0.283994354,0,0
2013,IND,h310,0.307270068,0,0
2013,IND,h311,0.330886599,0,0
2013,IND,h312,0.34915551,0,0
2013,IND,h313,0.356427211,0,0
2013,IND,h314,0.35211483,0,0
2013,IND,h315,0.342770136,0,0
2013,IND,h316,0.341110408,0,0
2013,IND,h317,0.359245306,0,0
2013,IND,h318,0.385857483,0,0
2013,IND,h319,0.389055238,0,0
2013,IND,h320,0.338503537,0,0.08
2013,IND,h321,0.329951224,0,0.35
2013,IND,h322,0.369522585,0,0.58
2013,IND,h323,0.337383129,0,0.74
2013,IND,h324,0.280321088,0,0.82
2013,IND,h325,0.238881769,0,0.85
2013,IND,h326,0.207769592,0,0.82
2013,IND,h327,0.185604966,0,0.72
2013,IND,h328,0.188147823,0,0.55
2013,IND,h329,0.218848163,0,0.33
2013,IND,h330,0.312509796,0,0.06
2013,IND,h331,0.423337551,0,0
2013,IND,h332,0.494064966,0,0
2013,IND,h333,0.525881905,0,0
2013,IND,h334,0.538410272,0,0
2013,IND,h335,0.535697143,0,0
2013,IND,h336,0.521385306,0,0
2013,IND,h337,0.504823197,0,0
2013,IND,h338,0.482334966,0,0
2013,IND,h339,0.451544422,0,0
2013,IND,h340,0.426870272,0,0
2013,IND,h341,0.412922449,0,0
2013,IND,h342,0.402237211,0,0
2013,IND,h343,0.38624585,0,0
2013,IND,h344,0.366226463,0,0.08
2013,IND,h345,0.336006735,0,0.35
2013,IND,h346,0.343328503,0,0.57
2013,IND,h347,0.331819184,0,0.68
2013,IND,h348,0.289415238,0,0.84
2013,IND,h349,0.245277075,0,0.8
2013,IND,h350,0.214760884,0,0.78
2013,IND,h351,0.200858912,0,0.66
2013,IND,h352,0.212268435,0,0.51
2013,IND,h353,0.249741497,0,0.26
2013,IND,h354,0.362527619,0,0.04
2013,IND,h355,0.469978912,0,0
2013,IND,h356,0.54199102,0,0
2013,IND,h357,0.574196122,0,0
2013,IND,h358,0.56238517,0,0
2013,IND,h359,0.538867007,0,0
2013,IND,h360,0.516854558,0,0
2013,IND,h361,0.489691905,0,0
2013,IND,h362,0.466907755,0,0
2013,IND,h363,0.435297687,0,0
2013,IND,h364,0.413590612,0,0
2013,IND,h365,0.400569116,0,0
2013,IND,h366,0.391660952,0,0
2013,IND,h367,0.397498844,0,0
2013,IND,h368,0.394078027,0,0.08
2013,IND,h369,0.382919456,0,0.35
2013,IND,h370,0.373242245,0,0.58
2013,IND,h371,0.364033129,0,0.69
2013,IND,h372,0.318838776,0,0.84
2013,IND,h373,0.27304551,0,0.87
2013,IND,h374,0.228141701,0,0.84
2013,IND,h375,0.203187619,0,0.74
2013,IND,h376,0.198337959,0,0.58
2013,IND,h377,0.211848163,0,0.35
2013,IND,h378,0.272283401,0,0.06
2013,IND,h379,0.357971769,0,0
2013,IND,h380,0.408677211,0,0
2013,IND,h381,0.418492381,0,0
2013,IND,h382,0.416011633,0,0
2013,IND,h383,0.413954286,0,0
2013,IND,h384,0.407434558,0,0
2013,IND,h385,0.394239116,0,0
2013,IND,h386,0.376569048,0,0
2013,IND,h387,0.351171633,0,0
2013,IND,h388,0.330120544,0,0
2013,IND,h389,0.319917143,0,0
2013,IND,h390,0.314036259,0,0
2013,IND,h391,0.297873946,0,0
2013,IND,h392,0.292065374,0,0.08
2013,IND,h393,0.269538571,0,0.34
2013,IND,h394,0.241780748,0,0.58
2013,IND,h395,0.202288776,0,0.75
2013,IND,h396,0.169251156,0,0.85
2013,IND,h397,0.146285442,0,0.88
2013,IND,h398,0.132920408,0,0.85
