CHA,h1,611549
CHA,h2,654244
CHA,h3,692547
CHA,h4,717837
CHA,h5,728683
CHA,h6,693858
CHA,h7,691184
CHA,h8,695198
CHA,h9,697549
CHA,h10,700179
CHA,h11,699900
CHA,h12,688197
CHA,h13,686970
CHA,h14,707600
CHA,h15,709045
CHA,h16,680509
CHA,h17,625229
CHA,h18,617177
CHA,h19,603726
CHA,h20,590083
CHA,h21,578902
CHA,h22,572979
CHA,h23,575115
CHA,h24,594410
CHA,h25,599349
CHA,h26,640748
CHA,h27,678912
CHA,h28,704013
CHA,h29,716463
CHA,h30,680173
CHA,h31,677585
CHA,h32,681922
CHA,h33,684954
CHA,h34,688292
CHA,h35,688677
CHA,h36,678069
CHA,h37,677913
CHA,h38,699332
CHA,h39,700953
CHA,h40,672811
CHA,h41,622886
CHA,h42,615076
CHA,h43,602023
CHA,h44,588743
CHA,h45,577753
CHA,h46,572041
CHA,h47,574677
CHA,h48,594384
CHA,h49,599608
CHA,h50,641165
CHA,h51,679271
CHA,h52,704360
CHA,h53,716774
CHA,h54,680432
CHA,h55,677696
CHA,h56,682062
CHA,h57,685131
CHA,h58,688795
CHA,h59,689423
CHA,h60,678794
CHA,h61,678498
CHA,h62,699800
CHA,h63,701686
CHA,h64,673566
CHA,h65,623702
CHA,h66,615771
CHA,h67,602675
CHA,h68,589302
CHA,h69,578247
CHA,h70,572597
CHA,h71,575286
CHA,h72,595068
CHA,h73,600506
CHA,h74,642460
CHA,h75,680865
CHA,h76,706017
CHA,h77,718389
CHA,h78,681979
CHA,h79,679225
CHA,h80,683494
CHA,h81,686615
CHA,h82,690340
CHA,h83,690981
CHA,h84,680362
CHA,h85,679900
CHA,h86,700751
CHA,h87,701965
CHA,h88,673607
CHA,h89,623580
CHA,h90,615773
CHA,h91,602680
CHA,h92,589406
CHA,h93,578499
CHA,h94,573189
CHA,h95,576990
CHA,h96,597592
CHA,h97,603530
CHA,h98,645462
CHA,h99,683851
CHA,h100,709081
CHA,h101,721295
CHA,h102,685176
CHA,h103,682542
CHA,h104,686801
CHA,h105,689796
CHA,h106,693475
CHA,h107,693840
CHA,h108,682923
CHA,h109,682265
CHA,h110,702881
CHA,h111,703869
CHA,h112,675090
CHA,h113,624912
CHA,h114,617132
CHA,h115,604137
CHA,h116,590944
CHA,h117,580238
CHA,h118,575190
CHA,h119,579491
CHA,h120,600679
CHA,h121,607558
CHA,h122,650320
CHA,h123,688922
CHA,h124,714421
CHA,h125,725802
CHA,h126,690636
CHA,h127,688125
CHA,h128,692070
CHA,h129,694629
CHA,h130,696887
CHA,h131,696533
CHA,h132,685165
CHA,h133,684031
CHA,h134,704404
CHA,h135,705630
CHA,h136,676866
CHA,h137,626611
CHA,h138,618768
CHA,h139,605835
CHA,h140,592620
CHA,h141,581859
CHA,h142,576769
CHA,h143,581165
CHA,h144,602605
CHA,h145,609732
CHA,h146,652588
CHA,h147,691083
CHA,h148,716526
CHA,h149,727558
CHA,h150,692970
CHA,h151,690403
CHA,h152,694479
CHA,h153,696962
CHA,h154,699459
CHA,h155,699237
CHA,h156,687628
CHA,h157,686427
CHA,h158,707093
CHA,h159,708467
CHA,h160,679633
CHA,h161,629101
CHA,h162,621276
CHA,h163,608236
CHA,h164,594921
CHA,h165,584108
CHA,h166,579201
CHA,h167,583824
CHA,h168,604814
CHA,h169,611549
CHA,h170,654244
CHA,h171,692547
CHA,h172,717837
CHA,h173,728683
CHA,h174,693858
CHA,h175,691184
CHA,h176,695198
CHA,h177,697549
CHA,h178,700179
CHA,h179,699900
CHA,h180,688197
CHA,h181,686970
CHA,h182,707600
CHA,h183,709045
CHA,h184,680509
CHA,h185,630065
CHA,h186,622004
CHA,h187,608774
CHA,h188,595372
CHA,h189,584312
CHA,h190,578824
CHA,h191,582295
CHA,h192,602553
CHA,h193,608752
CHA,h194,651032
CHA,h195,689095
CHA,h196,713928
CHA,h197,725059
CHA,h198,689309
CHA,h199,686438
CHA,h200,690282
CHA,h201,692712
CHA,h202,695924
CHA,h203,696136
CHA,h204,684886
CHA,h205,684025
CHA,h206,704646
CHA,h207,706256
CHA,h208,677970
CHA,h209,627898
CHA,h210,620007
CHA,h211,606880
CHA,h212,593470
CHA,h213,582380
CHA,h214,576583
CHA,h215,579273
