dummy,Wind_on,Wind_off,Solar
SR_up,0.031234387,0.031234387,0.049850657
SR_do,0.025949244,0.025949244,0.018177405
MR_up,0.031234387,0.031234387,0.049850657
MR_do,0.025949244,0.025949244,0.018177405
